Col,Col,t,T4,T3,TSH,Lymphocytes,Ab
1,2,0,0.916373213,268.9011897,5.116578357,435.9821137,241.2638898
2,2,3.25E-06,0.902003304,261.9786128,5.06183543,396.5777558,244.36588
3,3,0.000440641,0.89550144,263.426688,4.560118261,418.3603889,243.4702951
4,4,1.394329584,0.961704556,260.0928973,4.43900016,425.9931684,220.2650784
5,5,7.340512412,0.888209424,248.1476148,3.076819768,409.0154981,268.7155361
6,6,12.68672195,0.952254586,262.7716288,5.873829998,422.7046204,285.4395333
7,7,21.28525921,0.92940082,254.6602762,6.711313979,376.9265022,241.2383029
8,23,24.48291274,1.000085343,300.3501304,4.960515898,439.7240276,258.4415832
9,9,29.40755805,0.910753783,267.32679,2.794717331,436.372278,251.8910593
10,23,34.96662131,0.935439997,259.4810261,4.830036219,396.3432295,275.4863623
11,11,42.74784896,0.949142118,248.3391253,7.959248713,417.381297,264.6839964
12,12,48.12327369,0.906943205,278.2357557,4.791301795,420.2768935,231.568958
13,13,52.2063578,0.911692052,285.6599669,3.223351908,402.3010911,237.398663
14,14,58.21940563,0.927048197,257.3210775,4.037606329,386.2757575,281.2250509
15,24,65.45814566,0.921262691,277.1995431,7.585072756,441.0698882,241.6497326
16,16,72,0.902188166,305.0983316,5.190596236,427.5741059,257.7477171
17,17,78.15314846,0.986348685,280.1518593,2.976250125,406.1028892,251.7659606
18,18,83.694971,0.996597925,254.697651,5.170884323,413.9045632,288.1235527
19,19,91.96213767,0.980437302,264.5437741,6.490431248,411.2516967,255.2525695
20,20,97.63436555,0.920198046,294.8829346,4.33272104,417.2295031,269.4855519
21,21,104.271175,0.804086437,260.9226102,3.386100407,398.8080556,274.5028904
22,22,109.7627333,0.86676636,260.5318892,6.492577607,405.0717205,261.7789141
23,23,118.5820801,1.043590948,269.1706762,5.42502127,419.992127,244.3602558
24,24,122.1944206,0.93114001,282.7587771,3.820521128,415.3074833,242.4806929
25,25,128.6379948,0.876191069,270.2897145,3.748370583,428.1593703,269.5777161
26,26,134.2781402,0.936141614,273.3964406,6.138853411,419.6516747,267.2650859
27,27,143.0543047,0.99241562,303.6185551,5.501761007,436.9430562,236.2678535
28,28,147.728686,0.946147881,292.7264308,3.378048804,450.2942494,272.6465315
29,29,154.1190477,0.966454848,267.7584395,4.702970118,442.9672655,260.3360924
30,30,161.2383985,0.989393944,267.0674756,7.350105805,425.0886229,261.7467838
31,31,168,0.971244743,287.5477143,4.95302474,426.4710941,229.2312887
32,32,174.5315427,1.006887713,260.1546712,3.069515515,409.8508087,249.618469
33,33,179.9017157,1.03361848,246.0812957,5.283225403,409.0072777,264.8814227
34,34,188.3384156,0.919165872,288.3287349,6.891242048,404.545977,256.250553
35,35,193.0664515,1.026661141,264.0411787,4.079747224,404.7299229,243.5165173
36,36,199.1582447,1.043226421,260.0024204,3.397139056,444.8042075,267.5197297
37,37,204.4787376,0.947329941,269.2361144,6.190813907,395.6495629,253.0784021
38,38,213.1289386,0.879283682,290.3223028,6.208525747,428.0947954,245.7574349
39,39,217.4500494,0.85649533,295.8774346,4.525955898,410.8494943,250.2487633
40,40,223.7071721,0.97355962,283.9728615,3.106036374,427.4337251,265.6557127
41,41,229.0604923,0.980203596,260.1270034,6.083499273,422.8830395,251.2020847
42,42,237.8381802,1.013863712,299.0371715,6.602579114,457.7178,246.5733981
43,43,242.0001926,0.934692609,274.9629722,3.795994124,375.7798366,235.9846677
44,44,248.4620518,0.978421299,273.6609166,3.583775054,385.8830233,269.8157068
45,45,254.0523364,1.006194358,256.4739717,7.340544688,425.8043489,253.4671958
46,46,262.7669597,0.881361246,284.5430765,6.486044132,405.5546149,237.9958417
47,47,268.7987878,0.969651682,277.5475362,3.236863731,396.7552824,248.4969657
48,48,274.8388253,0.974412125,273.6912215,5.078940338,381.4742955,255.7978641
49,49,282.6308833,0.913450485,281.8803305,7.933096046,456.5258568,251.1475782
50,50,288.2852305,0.960994533,291.7978149,5.009514664,436.5074952,271.0480929
51,51,293.497797,1.00853892,284.2663399,2.886600871,449.0429506,252.9435791
52,52,299.0669541,0.998830287,274.5909185,4.81057244,384.0209632,246.7181986
53,53,306.9086245,0.927544977,274.6848039,7.49381024,418.556471,242.2358655
54,54,313.199777,0.941643833,265.2726556,4.786940017,424.759385,246.2296012
55,55,320.2023184,0.908363906,265.2085973,3.222738602,389.2673465,254.8515748
56,56,325.8008737,0.87936858,287.9948494,6.587619279,409.6881315,242.6010541
57,57,334.6099637,0.997595605,290.8372259,5.945307125,411.7645766,252.9287571
58,58,337.9567845,0.988699116,290.8233485,3.817131815,411.1831611,245.9929528
59,59,344.4187283,0.91535678,279.1626311,3.464181383,404.5234431,262.3980284
60,60,349.9984434,0.894139391,266.0771505,7.082827412,395.501162,249.8124302
61,61,358.718702,0.974394375,287.8621535,6.095932635,460.0467423,241.3728508
62,62,365.0046618,0.992471415,289.089874,3.118947744,399.482986,232.1706579
63,63,370.9624112,0.768101687,251.668008,5.008213754,405.3979885,247.3686445
64,64,378.7803965,0.961178627,278.0998767,7.188547612,422.9312058,275.5183766
65,65,384.0672232,0.993567397,283.7199898,5.175104213,443.597789,259.3781203
66,66,387.5719448,0.962341004,280.3490739,3.182625085,424.2282394,228.6240899
67,67,393.9433783,0.896132101,287.495356,4.342624849,409.6569049,269.8968801
68,68,400.6556507,0.936598542,235.8009245,7.462443756,400.5753239,253.0765249
69,69,408,0.953664208,281.9086104,4.877625185,416.8438703,261.1910329
70,70,410.5653758,0.865047748,263.0431659,3.559746039,417.5392743,243.1525656
71,71,416.920982,0.887446725,250.3677405,3.784029695,446.7171399,255.7833419
72,72,422.6729865,0.97824836,260.5912634,7.084790632,453.8765819,270.0485232
73,73,431.3323491,1.014356489,300.7751926,5.238135863,426.0258731,256.9911505
74,74,433.6742487,0.970327095,287.018467,4.107751014,383.3480518,241.7535862
75,75,439.8599351,0.955087176,276.1307643,3.242853665,410.4891385,281.6204929
76,76,445.2745759,0.87765929,259.3113569,6.915218335,439.9385105,255.6969619
77,77,453.9840331,0.883431796,274.4910881,5.987636761,408.6017834,234.717085
78,78,456.9777277,0.930184736,287.159464,4.767002483,397.8119895,267.5594382
79,79,462.7339826,1.030336285,274.1080054,3.191321871,379.5433193,257.3416256
80,80,468.0910569,0.940189734,266.0150242,5.235775368,434.5788649,252.5030058
81,81,476.5028661,0.925412419,280.0015644,6.809518101,411.2510994,264.8832188
82,82,480.3794841,0.960258831,285.1708904,4.980956814,396.3575615,238.3914583
83,83,485.2383726,0.972528568,299.9894771,2.822943805,451.0714075,254.7537054
84,84,490.7269148,0.806406348,263.1822552,4.854891875,423.4165599,254.7422939
85,85,498.3576926,0.919041928,275.2096852,8.019711205,424.3884853,269.9758029
86,86,504.5011334,0.96768619,284.2608638,4.999369228,426.6673826,232.7560554
87,87,510.8551408,1.006289512,285.5626585,3.159585546,395.2129018,244.9341897
88,88,516.2878059,0.913288835,297.2558255,5.566377752,407.7804523,294.3614867
89,89,524.8185481,0.88276183,276.8253537,6.733419832,393.0390503,244.5638262
90,90,530.118464,0.966065504,268.2696317,4.063464808,413.503966,249.8305016
91,91,536.7616645,0.858573192,264.6000537,3.881933413,426.9433509,250.3416648
92,92,542.4480594,0.973437708,280.6681227,6.689193492,410.5283836,254.695305
93,93,551.2319699,0.975002432,288.1599296,5.866076615,410.8019147,262.4543207
94,94,554.8285487,0.904557568,286.6451192,3.863467876,400.2168896,227.227605
95,95,561.2130061,0.957632284,272.6072737,4.103066082,439.5876618,229.9113787
96,96,567.1132757,0.975716162,258.0329752,7.501022147,395.7963597,242.2802368
97,97,575.7584177,0.913673303,281.4755711,5.569423508,417.7000155,251.0872825
98,98,580.2744786,0.987983549,276.3403287,3.035945608,437.7195244,254.3566625
99,99,586.2880932,0.931697615,286.4874902,4.660680589,409.6825185,257.0922157
